,0
926,1 bath
927,"2,240 sqft"
928," $2,125,000  "
929, 06/08/18  
930,Single Family
931,1913
932,No Data
933,No Data
934,No Data
935,"2,996 sqft"
936,"141 Devonshire Way, San Francisco, CA 94131 "
937,4 beds
938,4 baths
939,"2,107 sqft"
940," $2,500,088  "
941, 06/08/18  
942,Single Family
943,1963
944,Radiant
945,Central
946,Attached Garage
947,"3,267 sqft"
948,"3132 Franklin St, San Francisco, CA 94123 "
949,2 beds
950,1 bath
951,"1,077 sqft"
952," $1,400,000  "
953, 06/08/18  
954,Condo
955,1924
956,Forced air
957,Central
958,1 space
959,$250/month
960,"3756 Jackson St, San Francisco, CA 94118 "
961,7 beds
962,8.5 baths
963,"7,820 sqft"
964," $12,000,000  "
965, 06/08/18  
966,Single Family
967,1925
968,Forced air
969,Central
970,Attached Garage
971,"4,878 sqft"
972,"35 Zampa Ln APT 1, San Francisco, CA 94115 "
973,-- beds
974,-- baths
975,-- sqft
976," $590,000  "
977, 06/08/18  
978,Cooperative
979,No Data
980,No Data
981,No Data
982,No Data
983,No Data
984,"116 Downey St # 2, San Francisco, CA 94117 "
985,2 beds
986,1 bath
987,"1,088 sqft"
988," $1,300,000  "
989, 06/08/18  
990,Multi Family
991,1900
992,No Data
993,No Data
994,No Data
995,No Data
996,"1973 Eddy St # 4, San Francisco, CA 94115 "
997,2 beds
998,3 baths
999,"1,900 sqft"
1000," $1,650,000  "
1001, 06/08/18  
1002,Condo
1003,1980
1004,No Data
1005,No Data
1006,No Data
1007,No Data
1008,"564 12th Ave, San Francisco, CA 94118 "
1009,5 beds
1010,3.5 baths
1011,"3,375 sqft"
1012," $3,300,000  "
1013, 06/08/18  
1014,Single Family
1015,1914
1016,Forced air
1017,Central
1018,Attached Garage
1019,"2,996 sqft"
1020,"160 Corwin St APT 4, San Francisco, CA 94114 "
1021,2 beds
1022,1 bath
1023,932 sqft
1024," $1,315,000  "
1025, 06/08/18  
1026,Condo
1027,1966
1028,No Data
1029,No Data
1030,2 spaces
1031,$300/month
1032,"1470 Golden Gate Ave APT 2A, San Francisco, CA 94115 "
1033,2 beds
1034,2 baths
1035,"1,276 sqft"
1036," $1,025,000  "
1037, 06/08/18  
1038,Condo
1039,1988
1040,Baseboard
1041,No Data
1042,2 spaces
1043,$310/month
1044,"3450 Clay St, San Francisco, CA 94118 "
1045,5 beds
1046,5 baths
1047,"3,346 sqft"
1048," $4,975,000  "
1049, 06/08/18  
1050,Condo
1051,1902
1052,Forced air
1053,Central
1054,2 spaces
1055,$857/month
1056,"4171 24th St, San Francisco, CA 94114 "
1057,2 beds
1058,2 baths
1059,939 sqft
1060," $1,700,000  "
1061, 06/08/18  
1062,Condo
1063,2018
1064,Forced air
1065,Central
1066,None
1067,$470/month
1068,"1242 41st Ave, San Francisco, CA 94122 "
1069,2 beds
1070,1 bath
1071,"1,360 sqft"
1072," $1,250,000  "
1073, 06/08/18  
1074,Single Family
1075,1910
1076,No Data
1077,Wall
1078,No Data
1079,"2,996 sqft"
1080,"116 Downey St # 2, San Francisco, CA 94117 "
1081,2 beds
1082,1 bath
1083,"1,088 sqft"
1084," $1,300,000  "
1085, 06/08/18  
1086,Multi Family
1087,1900
1088,No Data
1089,No Data
1090,No Data
1091,No Data
1092,"47 Kittredge Ter, San Francisco, CA 94118 "
1093,3 beds
1094,2 baths
1095,"1,895 sqft"
1096," $2,150,000  "
1097, 06/08/18  
1098,Single Family
1099,1937
1100,Forced air
1101,Central
1102,Attached Garage
1103,"2,482 sqft"
1104,"4171 24th St, San Francisco, CA 94114 "
1105,2 beds
1106,2 baths
1107,939 sqft
1108," $1,700,000  "
1109, 06/08/18  
1110,Condo
1111,2018
1112,Forced air
1113,Central
1114,None
1115,$470/month
1116,"1286 34th Ave, San Francisco, CA 94122 "
1117,3 beds
1118,2 baths
1119,"1,800 sqft"
1120," $1,653,500  "
1121, 06/08/18  
1122,Single Family
1123,1912
1124,Other
1125,None
1126,1 space
1127,"2,250 sqft"
1128,"564 12th Ave, San Francisco, CA 94118 "
1129,5 beds
1130,3.5 baths
1131,"3,375 sqft"
1132," $3,300,000  "
1133, 06/08/18  
1134,Single Family
1135,1914
1136,Forced air
1137,Central
1138,Attached Garage
1139,"2,996 sqft"
1140,"1973 Eddy St # 4, San Francisco, CA 94115 "
1141,2 beds
1142,3 baths
1143,"1,900 sqft"
1144," $1,650,000  "
1145, 06/08/18  
1146,Condo
1147,1980
1148,No Data
1149,No Data
1150,No Data
1151,No Data
1152,"3887 17th St, San Francisco, CA 94114 "
1153,3 beds
1154,3 baths
1155,"1,850 sqft"
1156," $2,900,000  "
1157, 06/08/18  
1158,Single Family
1159,1900
1160,Forced air
1161,Central
1162,Attached Garage
1163,"2,600 sqft"
1164,"1559 7th Ave, San Francisco, CA 94122 "
1165,3 beds
1166,2 baths
1167,"1,625 sqft"
1168," $2,670,000  "
1169, 06/08/18  
1170,Multi Family
1171,1937
1172,No Data
1173,No Data
1174,1 space
1175,No Data
1176,"1453 14th Ave, San Francisco, CA 94122 "
1177,2 beds
1178,1 bath
1179,"1,175 sqft"
1180," $300,000  "
1181, 06/08/18  
1182,Single Family
1183,1924
1184,No Data
1185,No Data
1186,No Data
1187,"3,190 sqft"
1188,"2186 29th Ave, San Francisco, CA 94116 "
1189,2 beds
1190,1 bath
1191,"1,162 sqft"
1192," $1,210,000  "
1193, 06/07/18  
1194,Single Family
1195,1949
1196,Forced air
1197,Central
1198,No Data
1199,"1,742 sqft"
1200,"1870 Jackson St APT 301, San Francisco, CA 94109 "
1201,1 bed
1202,1 bath
1203,"1,270 sqft"
1204," $1,200,000  "
1205, 06/06/18  
1206,Condo
1207,1931
1208,No Data
1209,No Data
1210,No Data
1211,No Data
1212,"566 27th Ave, San Francisco, CA 94121 "
1213,3 beds
1214,2 baths
1215,"2,408 sqft"
1216," $2,150,000  "
1217, 06/06/18  
1218,Single Family
1219,1936
1220,Forced air
1221,Central
1222,No Data
1223,"2,996 sqft"
1224,"340 Jersey St, San Francisco, CA 94114 "
1225,2 beds
1226,1.25 baths
1227,"1,300 sqft"
1228," $2,200,000  "
1229, 06/06/18  
1230,Single Family
1231,1900
1232,No Data
1233,No Data
1234,Attached Garage
1235,"2,848 sqft"
1236,"2027 Market St APT 1, San Francisco, CA 94114 "
1237,2 beds
1238,2 baths
1239,998 sqft
1240," $1,210,000  "
1241, 06/05/18  
1242,Condo
1243,1995
1244,No Data
1245,No Data
1246,No Data
1247,$644/month
1248,"805 Marina Blvd, San Francisco, CA 94123 "
1249,4 beds
1250,3.5 baths
1251,"3,400 sqft"
1252," $5,400,000  "
1253, 06/05/18  
1254,Single Family
1255,1936
1256,No Data
1257,No Data
1258,2 spaces
1259,"1,934 sqft"
1260,"805 Marina Blvd, San Francisco, CA 94123 "
